Customer Size,Database Size,Delete Keyword,Type,Elapsed (ms)
6765,6765,1000,BAD,0.001882375
6765,6765,1000,GOOD,0.001633250
10946,6765,1000,BAD,0.001889416
10946,6765,1000,GOOD,0.002370292
17711,6765,1000,BAD,0.001971250
17711,6765,1000,GOOD,0.002211167
28657,6765,1000,BAD,0.001935750
28657,6765,1000,GOOD,0.001892917
46368,6765,1000,BAD,0.001874250
46368,6765,1000,GOOD,0.002017209
6765,10946,1000,BAD,0.001962042
6765,10946,1000,GOOD,0.002020541
10946,10946,1000,BAD,0.003102583
10946,10946,1000,GOOD,0.004054083
17711,10946,1000,BAD,0.003048625
17711,10946,1000,GOOD,0.002935334
28657,10946,1000,BAD,0.003091209
28657,10946,1000,GOOD,0.003041625
46368,10946,1000,BAD,0.003113667
46368,10946,1000,GOOD,0.003193833
6765,17711,1000,BAD,0.001919500
6765,17711,1000,GOOD,0.001673583
10946,17711,1000,BAD,0.003136709
10946,17711,1000,GOOD,0.004328667
17711,17711,1000,BAD,0.004927000
17711,17711,1000,GOOD,0.006410625
28657,17711,1000,BAD,0.004930000
28657,17711,1000,GOOD,0.006797041
46368,17711,1000,BAD,0.005068250
46368,17711,1000,GOOD,0.005021209
6765,28657,1000,BAD,0.001902083
6765,28657,1000,GOOD,0.002386667
10946,28657,1000,BAD,0.003050542
10946,28657,1000,GOOD,0.004259292
17711,28657,1000,BAD,0.004977500
17711,28657,1000,GOOD,0.005635541
28657,28657,1000,BAD,0.008031667
28657,28657,1000,GOOD,0.011860042
46368,28657,1000,BAD,0.007999416
46368,28657,1000,GOOD,0.009558500
6765,46368,1000,BAD,0.001890833
6765,46368,1000,GOOD,0.001644292
10946,46368,1000,BAD,0.003099917
10946,46368,1000,GOOD,0.003568917
17711,46368,1000,BAD,0.004962292
17711,46368,1000,GOOD,0.005696541
28657,46368,1000,BAD,0.008203083
28657,46368,1000,GOOD,0.008326708
46368,46368,1000,BAD,0.013811584
46368,46368,1000,GOOD,0.014708500
